"state","sa_no","year","parties_contested","parties_represented"
"Manipur",1,"1967",6,4
"Manipur",2,"1972",8,6
"Manipur",3,"1974",9,7
"Manipur",4,"1980",10,8
"Manipur",5,"1984",10,6
"Manipur",6,"1990",10,7
"Manipur",7,"1995",15,10
"Manipur",8,"2000",16,11
"Manipur",9,"2002",16,10
"Manipur",10,"2007",19,7
"Manipur",11,"2012",19,6
