"state","sa_no","year","women_percentage"
"Manipur",1,"1967",0
"Manipur",2,"1972",0
"Manipur",3,"1974",0
"Manipur",4,"1980",0
"Manipur",5,"1984",0
"Manipur",6,"1990",1.85
"Manipur",7,"1995",0
"Manipur",8,"2000",1.67
"Manipur",9,"2002",1.67
"Manipur",10,"2007",0
"Manipur",11,"2012",5
