"state","sa_no","year","parties_contested","parties_represented"
"Maharashtra",1,"1962",11,7
"Maharashtra",2,"1967",10,9
"Maharashtra",3,"1972",16,12
"Maharashtra",4,"1978",13,10
"Maharashtra",5,"1980",15,9
"Maharashtra",6,"1985",12,8
"Maharashtra",7,"1990",37,11
"Maharashtra",8,"1995",38,10
"Maharashtra",9,"1999",40,14
"Maharashtra",10,"2004",58,12
"Maharashtra",11,"2009",78,15
"Maharashtra",12,"2014",92,13
