"state","sa_no","year","total_candidates","deposit_saved"
"Maharashtra",1,"1962",1161,1158
"Maharashtra",2,"1967",1242,1237
"Maharashtra",3,"1972",1196,1177
"Maharashtra",4,"1978",1819,1769
"Maharashtra",5,"1980",1539,1483
"Maharashtra",6,"1985",2230,2015
"Maharashtra",7,"1990",3764,2620
"Maharashtra",8,"1995",4709,3620
"Maharashtra",9,"1999",2006,1848
"Maharashtra",10,"2004",2678,2534
"Maharashtra",11,"2009",3558,3275
"Maharashtra",12,"2014",4119,3280
