"state","sa_no","year","women_percentage"
"Maharashtra",1,"1962",4.92
"Maharashtra",2,"1967",3.33
"Maharashtra",3,"1972",0
"Maharashtra",4,"1978",2.78
"Maharashtra",5,"1980",6.6
"Maharashtra",6,"1985",5.56
"Maharashtra",7,"1990",2.08
"Maharashtra",8,"1995",3.82
"Maharashtra",9,"1999",4.17
"Maharashtra",10,"2004",3.89
"Maharashtra",11,"2009",3.82
"Maharashtra",12,"2014",6.94
