"state","sa_no","year","total_candidates","deposit_saved"
"Puducherry",1,"1964",85,85
"Puducherry",2,"1969",76,76
"Puducherry",3,"1974",108,108
"Puducherry",4,"1977",131,130
"Puducherry",5,"1980",132,132
"Puducherry",6,"1985",119,116
"Puducherry",7,"1990",212,172
"Puducherry",8,"1991",208,155
"Puducherry",9,"1996",270,200
"Puducherry",10,"2001",193,186
"Puducherry",11,"2006",218,202
"Puducherry",12,"2011",186,179
"Puducherry",13,"2016",342,277
