"state","sa_no","year","parties_contested","parties_represented"
"Puducherry",1,"1964",4,4
"Puducherry",2,"1969",4,4
"Puducherry",3,"1974",7,7
"Puducherry",4,"1977",6,6
"Puducherry",5,"1980",9,5
"Puducherry",6,"1985",12,5
"Puducherry",7,"1990",15,6
"Puducherry",8,"1991",14,6
"Puducherry",9,"1996",16,8
"Puducherry",10,"2001",18,7
"Puducherry",11,"2006",19,8
"Puducherry",12,"2011",18,5
"Puducherry",13,"2016",22,5
