"state","sa_no","year","women_percentage"
"Assam",3,"1962",3.81
"Assam",4,"1967",3.2
"Assam",5,"1972",0
"Assam",6,"1978",0.79
"Assam",7,"1983",1.83
"Assam",8,"1985",3.97
"Assam",9,"1991",3.97
"Assam",10,"1996",4.92
"Assam",11,"2001",7.94
"Assam",12,"2006",11.11
"Assam",13,"2011",11.11
"Assam",14,"2016",6.35
