"state","sa_no","year","parties_contested","parties_represented"
"Assam",3,"1962",9,5
"Assam",4,"1967",9,7
"Assam",5,"1972",10,6
"Assam",6,"1978",12,8
"Assam",7,"1983",6,6
"Assam",8,"1985",10,5
"Assam",9,"1991",27,9
"Assam",10,"1996",19,9
"Assam",11,"2001",28,9
"Assam",12,"2006",31,11
"Assam",13,"2011",25,7
"Assam",14,"2016",38,6
