"state","sa_no","year","total_candidates","deposit_saved"
"Assam",3,"1962",409,409
"Assam",4,"1967",492,492
"Assam",5,"1972",478,477
"Assam",6,"1978",938,935
"Assam",7,"1983",471,463
"Assam",8,"1985",1133,1090
"Assam",9,"1991",1657,1576
"Assam",10,"1996",1228,1093
"Assam",11,"2001",916,849
"Assam",12,"2006",997,993
"Assam",13,"2011",983,963
"Assam",14,"2016",1064,1005
