"state","sa_no","year","total_candidates","deposit_saved"
"Arunachal_Pradesh",1,"1978",86,86
"Arunachal_Pradesh",2,"1980",95,95
"Arunachal_Pradesh",3,"1984",115,115
"Arunachal_Pradesh",4,"1990",170,170
"Arunachal_Pradesh",5,"1995",173,173
"Arunachal_Pradesh",6,"1999",171,170
"Arunachal_Pradesh",7,"2004",165,165
"Arunachal_Pradesh",8,"2009",157,157
"Arunachal_Pradesh",9,"2014",155,155
