"state","sa_no","year","total_candidates","deposit_saved"
"Goa",1,"1989",252,231
"Goa",2,"1994",311,293
"Goa",3,"1999",210,210
"Goa",4,"2002",212,212
"Goa",5,"2007",202,202
"Goa",6,"2012",215,215
