"state","sa_no","year","parties_contested","parties_represented"
"Goa",1,"1989",12,3
"Goa",2,"1994",13,5
"Goa",3,"1999",12,6
"Goa",4,"2002",11,6
"Goa",5,"2007",13,7
"Goa",6,"2012",18,5
