"state","sa_no","year","women_percentage"
"Goa",1,"1989",5
"Goa",2,"1994",10
"Goa",3,"1999",5
"Goa",4,"2002",2.5
"Goa",5,"2007",2.5
"Goa",6,"2012",2.5
